Synset	T	V	N	Parsed Definition
200574341	depolarise	eliminate	polarization	(S1 (S (VP (VB eliminate)(NP (NP (DT the)(NN polarization))(PP (IN of))))))#
200575359	legitimate	declare	legitimacy	(S1 (S (VP (VB declare)(NP (NP (DT the)(NN legitimacy))(PP (IN of)(NP (-LRB- -LRB-)(NP (NN someone))(-RRB- -RRB-)))))))#
200577500	opacify	become	opaque	(S1 (S (VP (VB become)(NP (NN opaque)))))#
200578862	rejuvenate	develop	features	(S1 (S (VP (VB develop)(NP (JJ youthful)(JJ topographical)(NNS features)))))#
200583064	crash	undergo	downturn	(S1 (S (VP (VB undergo)(NP (DT a)(JJ sudden)(CC and)(JJ severe)(NN downturn)))))#
200584220	upgrade	get	travel	(S1 (S (VP (VB get)(NP (JJR better)(NN travel)(NNS conditions)))))#
200586598	repress	block	action	(S1 (S (VP (VB block)(NP (NP (DT the)(NN action))(PP (IN of))))))#
200587390	obscure	reduce	vowel	(S1 (S (VP (VB reduce)(NP (NP (DT a)(NN vowel))(PP (TO to)(NP (DT a)(JJ neutral)(CD one)))(, ,)(PP (JJ such)(IN as)(NP (DT a)(NN schwa)))))))#
200589738	follow	grasp	meaning	(S1 (S (VP (VB grasp)(NP (DT the)(NN meaning)))))#
200592186	strike a chord	create	response	(S1 (S (VP (VB create)(NP (DT an)(JJ emotional)(NN response)))))#
200593363	write off	concede	worthlessness	(S1 (S (VP (VB concede)(NP (NP (DT the)(NN loss)(CC or)(NN worthlessness))(PP (IN of)(NP (NN something)(CC or)(NN somebody)))))))#
200593669	extrapolate	gain	knowledge	(S1 (S (VP (VB gain)(NP (NP (NN knowledge))(PP (IN of)(S (VP (PRN (-LRB- -LRB-)(NP (NP (DT an)(NN area))(VP (RB not)(VBN known)(CC or)(VBN experienced)))(-RRB- -RRB-))(PP (IN by)(S (VP (VBG extrapolating)))))))))))#
200597915	learn	gain	skills	(S1 (S (VP (VB gain)(NP (NP (NN knowledge))(CC or)(NP (NNS skills))))))#
200597915	larn	gain	skills	(S1 (S (VP (VB gain)(NP (NP (NN knowledge))(CC or)(NP (NNS skills))))))#
200597915	acquire	gain	skills	(S1 (S (VP (VB gain)(NP (NP (NN knowledge))(CC or)(NP (NNS skills))))))#
200598502	unlearn	discard	something	(S1 (S (VP (VB discard)(NP (NP (NN something))(ADJP (RB previously)(JJ learnt))(, ,)(PP (IN like)(NP (DT an)(JJ old)(NN habit)))))))#
200599720	wise up	cause	someone	(S1 (S (VP (VB cause)(NP (NP (NN someone))(SBAR (S (VP (TO to)(VP (VB become)(ADJP (JJ aware)(PP (IN of)(NP (NN something))))))))))))#
200599835	trip up	detect	misstep	(S1 (S (VP (VB detect)(NP (NP (DT a)(NN blunder))(CC or)(NP (NN misstep))))))#
200599835	catch	detect	misstep	(S1 (S (VP (VB detect)(NP (NP (DT a)(NN blunder))(CC or)(NP (NN misstep))))))#
200603822	retrain	teach	skills	(S1 (S (VP (VB teach)(NP (JJ new)(NNS skills)))))#
200607405	study	follow	course	(S1 (S (VP (VB follow)(NP (NP (DT a)(NN course))(PP (IN of)(NP (NN study)))))))#
200607780	think	recall	knowledge	(S1 (S (VP (VB recall)(NP (NP (NN knowledge))(PP (IN from)(NP (NN memory)))))))#
200607780	remember	recall	knowledge	(S1 (S (VP (VB recall)(NP (NP (NN knowledge))(PP (IN from)(NP (NN memory)))))))#
200607780	retrieve	recall	knowledge	(S1 (S (VP (VB recall)(NP (NP (NN knowledge))(PP (IN from)(NP (NN memory)))))))#
200607780	recall	recall	knowledge	(S1 (S (VP (VB recall)(NP (NP (NN knowledge))(PP (IN from)(NP (NN memory)))))))#
200607780	call back	recall	knowledge	(S1 (S (VP (VB recall)(NP (NP (NN knowledge))(PP (IN from)(NP (NN memory)))))))#
200607780	call up	recall	knowledge	(S1 (S (VP (VB recall)(NP (NP (NN knowledge))(PP (IN from)(NP (NN memory)))))))#
200607780	recollect	recall	knowledge	(S1 (S (VP (VB recall)(NP (NP (NN knowledge))(PP (IN from)(NP (NN memory)))))))#
200610167	forget	stop	remembering	(S1 (S (VP (VB stop)(NP (VBG remembering)))))#
200610167	bury	stop	remembering	(S1 (S (VP (VB stop)(NP (VBG remembering)))))#
200610770	take back	cause	someone	(S1 (S (VP (VB cause)(NP (NP (NN someone))(SBAR (S (VP (TO to)(VP (VB remember)(NP (DT the)(NN past))))))))))#
200611055	reminisce	recall	past	(S1 (S (VP (VB recall)(NP (DT the)(NN past)))))#
200611256	remember	recapture	past	(S1 (S (VP (VB recapture)(NP (DT the)(NN past)))))#
200611256	think back	recapture	past	(S1 (S (VP (VB recapture)(NP (DT the)(NN past)))))#
200614057	desolate	leave	someone	(S1 (S (VP (VB leave)(NP (NP (NN someone))(SBAR (WHNP (WP who))(S (VP (VBZ needs)(CC or)(VBZ counts)(PP (IN on)(NP (PRP you))))))))))#
200614057	desert	leave	someone	(S1 (S (VP (VB leave)(NP (NP (NN someone))(SBAR (WHNP (WP who))(S (VP (VBZ needs)(CC or)(VBZ counts)(PP (IN on)(NP (PRP you))))))))))#
200614057	abandon	leave	someone	(S1 (S (VP (VB leave)(NP (NP (NN someone))(SBAR (WHNP (WP who))(S (VP (VBZ needs)(CC or)(VBZ counts)(PP (IN on)(NP (PRP you))))))))))#
200614057	forsake	leave	someone	(S1 (S (VP (VB leave)(NP (NP (NN someone))(SBAR (WHNP (WP who))(S (VP (VBZ needs)(CC or)(VBZ counts)(PP (IN on)(NP (PRP you))))))))))#
200618057	stumble	make	error	(S1 (S (VP (VB make)(NP (DT an)(NN error)))))#
200618057	slip up	make	error	(S1 (S (VP (VB make)(NP (DT an)(NN error)))))#
200618057	trip up	make	error	(S1 (S (VP (VB make)(NP (DT an)(NN error)))))#
200618878	identify	establish	identity	(S1 (S (VP (VB establish)(NP (NP (DT the)(NN identity))(PP (IN of)(NP (NN someone)(CC or)(NN something)))))))#
200618878	place	establish	identity	(S1 (S (VP (VB establish)(NP (NP (DT the)(NN identity))(PP (IN of)(NP (NN someone)(CC or)(NN something)))))))#
200619183	date	determine	date	(S1 (S (VP (VB determine)(NP (NP (DT the)(PRN (-LRB- -LRB-)(JJ probable)(-RRB- -RRB-))(NN date))(PP (IN of))))))#
200624476	take	convey	impression	(S1 (S (VP (VB convey)(NP (DT a)(JJ particular)(NN meaning)(CC or)(NN impression)))))#
200624476	read	convey	impression	(S1 (S (VP (VB convey)(NP (DT a)(JJ particular)(NN meaning)(CC or)(NN impression)))))#
200624967	idealize	form	ideals	(S1 (S (VP (VB form)(NP (NNS ideals)))))#
200624967	idealise	form	ideals	(S1 (S (VP (VB form)(NP (NNS ideals)))))#
200625119	read	interpret	something	(S1 (S (VP (VB interpret)(NP (NP (NN something))(SBAR (WHNP (WDT that))(S (VP (AUX is)(VP (VBN written)(CC or)(VBN printed)))))))))#
200625841	dip into	read	passages	(S1 (S (VP (VB read)(NP (NP (RB only)(JJ certain)(NNS passages))(PP (IN from)(NP (DT a)(NN text)))))))#
200627091	read	interpret	significance	(S1 (S (VP (VB interpret)(NP (NP (DT the)(NN significance))(PP (IN of)(PRN (, ,)(PP (IN as)(PP (IN of)(NP (NP (NNS palms))(, ,)(NP (NN tea)(NNS leaves))(, ,)(NP (NNS intestines)))))(, ,))(NP (DT the)(NN sky)))))))#
200629257	rationalize	employ	reason	(S1 (S (VP (VB employ)(NP (NP (NN logic))(CC or)(NP (NN reason))))))#
200629257	rationalise	employ	reason	(S1 (S (VP (VB employ)(NP (NP (NN logic))(CC or)(NP (NN reason))))))#
200634286	etymologize	construct	history	(S1 (S (VP (VB construct)(NP (NP (DT the)(NN history))(PP (IN of)(NP (NNS words)))))))#
200634286	etymologise	construct	history	(S1 (S (VP (VB construct)(NP (NP (DT the)(NN history))(PP (IN of)(NP (NNS words)))))))#
200635714	riddle	explain	riddle	(S1 (S (VP (VB explain)(NP (DT a)(NN riddle)))))#
200638723	extract	calculate	root	(S1 (S (VP (VB calculate)(NP (NP (DT the)(NN root))(PP (IN of)(NP (DT a)(NN number)))))))#
200639331	prorate	make	distribution	(S1 (S (VP (VB make)(NP (DT a)(JJ proportional)(NN settlement)(CC or)(NN distribution)))))#
200639998	average out	compute	average	(S1 (S (VP (VB compute)(NP (NP (DT the)(NN average))(PP (IN of))))))#
200639998	average	compute	average	(S1 (S (VP (VB compute)(NP (NP (DT the)(NN average))(PP (IN of))))))#
200641138	foot	add	column	(S1 (S (VP (VB add)(NP (NP (DT a)(NN column))(PP (IN of)(NP (NNS numbers)))))))#
200641138	foot up	add	column	(S1 (S (VP (VB add)(NP (NP (DT a)(NN column))(PP (IN of)(NP (NNS numbers)))))))#
200641252	subtract	make	subtraction	(S1 (S (VP (VB make)(NP (DT a)(NN subtraction)))))#
200641252	deduct	make	subtraction	(S1 (S (VP (VB make)(NP (DT a)(NN subtraction)))))#
200641252	take off	make	subtraction	(S1 (S (VP (VB make)(NP (DT a)(NN subtraction)))))#
200641532	carry back	deduct	credit	(S1 (S (VP (VB deduct)(NP (NP (DT a)(NN loss))(CC or)(NP (NP (DT an)(JJ unused)(NN credit))(PP (IN from)(NP (NP (JJ taxable)(NN income))(PP (IN for)(NP (DT a)(JJ prior)(NN period))))))))))#
200642098	divide	perform	division	(S1 (S (VP (VB perform)(NP (DT a)(NN division)))))#
200642098	fraction	perform	division	(S1 (S (VP (VB perform)(NP (DT a)(NN division)))))#
200642644	interpolate	estimate	value	(S1 (S (VP (VB estimate)(NP (NP (DT the)(NN value))(PP (IN of))))))#
200642644	extrapolate	estimate	value	(S1 (S (VP (VB estimate)(NP (NP (DT the)(NN value))(PP (IN of))))))#
200642803	differentiate	calculate	derivative	(S1 (S (VP (VB calculate)(NP (DT a)(NN derivative)))))#(S1 (S (VP (VB take)(NP (DT the)(NN derivative)))))#
200646738	survey	plot	map	(S1 (S (VP (VB plot)(NP (NP (DT a)(NN map))(PP (IN of)(NP (-LRB- -LRB-)(NP (NN land))(-RRB- -RRB-)))))))#
200647508	shoot	measure	altitude	(S1 (S (VP (VB measure)(NP (NP (DT the)(NN altitude))(PP (IN of)(PP (IN by)(S (VP (VBG using)(NP (DT a)(NN sextant))))))))))#
200647770	caliper	measure	diameter	(S1 (S (VP (VB measure)(NP (NP (DT the)(NN diameter))(PP (IN of)(NP (NP (NN something))(PP (IN with)(NP (NNS calipers)))))))))#
200647770	calliper	measure	diameter	(S1 (S (VP (VB measure)(NP (NP (DT the)(NN diameter))(PP (IN of)(NP (NP (NN something))(PP (IN with)(NP (NNS calipers)))))))))#
200648764	google	search	internet	(S1 (S (VP (VB search)(NP (NP (DT the)(NN internet))(PRN (-LRB- -LRB-)(PP (IN for)(NP (NN information)))(-RRB- -RRB-))(VP (VBG using)(NP (DT the)(NNP Google)(NN search)(NN engine)))))))#
200649887	cave	explore	caves	(S1 (S (VP (VB explore)(NP (JJ natural)(NNS caves)))))#
200649887	spelunk	explore	caves	(S1 (S (VP (VB explore)(NP (JJ natural)(NNS caves)))))#
200650233	subtilize	mark	subtleties	(S1 (S (VP (VB mark)(NP (NP (JJ fine)(NNS distinctions))(CC and)(NP (NP (NNS subtleties))(, ,)(PP (IN as)(PP (IN among)(NP (NNS words)))))))))#
200651630	sex	tell	sex	(S1 (S (VP (VB tell)(NP (NP (DT the)(NN sex))(PRN (-LRB- -LRB-)(PP (IN of)(NP (JJ young)(NNS chickens)))(-RRB- -RRB-))))))#
200653283	analogize	make	analogy	(S1 (S (VP (VB make)(NP (DT an)(NN analogy)))))#
200653283	analogise	make	analogy	(S1 (S (VP (VB make)(NP (DT an)(NN analogy)))))#
200659260	countermarch	change	order	(S1 (S (VP (VB change)(NP (NP (DT the)(NN order))(PP (IN of)(NP (NP (NNS soldiers))(PP (IN during)(NP (DT a)(NN march)))))))))#
200659776	place	take	place	(S1 (S (VP (VB take)(NP (NP (DT a)(NN place))(PP (IN in)(NP (DT a)(NN competition)))))))#
200659776	come out	take	place	(S1 (S (VP (VB take)(NP (NP (DT a)(NN place))(PP (IN in)(NP (DT a)(NN competition)))))))#
200659776	come in	take	place	(S1 (S (VP (VB take)(NP (NP (DT a)(NN place))(PP (IN in)(NP (DT a)(NN competition)))))))#
200660971	rate	estimate	value	(S1 (S (VP (VB estimate)(NP (NP (DT the)(NN value))(PP (IN of))))))#
200660971	value	estimate	value	(S1 (S (VP (VB estimate)(NP (NP (DT the)(NN value))(PP (IN of))))))#
200664276	authenticate	establish	authenticity	(S1 (S (VP (VB establish)(NP (NP (DT the)(NN authenticity))(PP (IN of)(NP (NN something)))))))#
200666722	source	specify	origin	(S1 (S (VP (VB specify)(NP (NP (DT the)(NN origin))(PP (IN of))))))#
200669970	test	undergo	test	(S1 (S (VP (VB undergo)(NP (DT a)(NN test)))))#
200670261	evaluate	form	opinion	(S1 (S (VP (VB form)(NP (NP (DT a)(JJ critical)(NN opinion))(PP (IN of))))))#
200670261	pass judgment	form	opinion	(S1 (S (VP (VB form)(NP (NP (DT a)(JJ critical)(NN opinion))(PP (IN of))))))#
200670261	judge	form	opinion	(S1 (S (VP (VB form)(NP (NP (DT a)(JJ critical)(NN opinion))(PP (IN of))))))#
200671859	overcapitalize	overestimate	value	(S1 (S (VP (VB overestimate)(NP (NP (DT the)(NN market)(NN value))(PP (IN of))))))#
200671859	overcapitalise	overestimate	value	(S1 (S (VP (VB overestimate)(NP (NP (DT the)(NN market)(NN value))(PP (IN of))))))#
200672277	judge	determine	result	(S1 (S (VP (VB determine)(NP (NP (DT the)(NN result))(PP (IN of)(NP (-LRB- -LRB-)(NP (DT a)(NN competition))(-RRB- -RRB-)))))))#
200673571	give	estimate	outcome	(S1 (S (VP (VB estimate)(NP (NP (DT the)(NN duration)(CC or)(NN outcome))(PP (IN of)(NP (NN something)))))))#
200673766	underestimate	make	estimate	(S1 (S (VP (VB make)(NP (DT a)(ADJP (RB deliberately)(JJ low))(NN estimate)))))#
200673766	lowball	make	estimate	(S1 (S (VP (VB make)(NP (DT a)(ADJP (RB deliberately)(JJ low))(NN estimate)))))#
200677445	skim off	pick	best	(S1 (S (VP (VB pick)(NP (DT the)(JJS best)))))#
200677445	cream off	pick	best	(S1 (S (VP (VB pick)(NP (DT the)(JJS best)))))#
200678547	time	assign	time	(S1 (S (VP (VB assign)(NP (NP (DT a)(NN time))(PP (IN for)(NP (NP (DT an)(NN activity))(CC or)(NP (NN event))))))))#
200679112	slot	assign	slot	(S1 (S (VP (VB assign)(NP (DT a)(NN time)(NN slot)))))#
200682230	assess	estimate	value	(S1 (S (VP (VB estimate)(NP (NP (DT the)(NN value))(PP (IN of)(NP (NP (-LRB- -LRB-)(NN property)(-RRB- -RRB-))(PP (IN for)(NP (NN taxation)))))))))#
200684273	believe	follow	credo	(S1 (S (VP (VB follow)(NP (DT a)(NN credo)))))#
200684507	misbelieve	hold	belief	(S1 (S (VP (VB hold)(NP (DT a)(ADJP (JJ false)(CC or)(JJ unorthodox))(NN belief)))))#
200692143	favor	consider	favorite	(S1 (S (VP (VB consider)(NP (RB as)(DT the)(NN favorite)))))#
200692143	favour	consider	favorite	(S1 (S (VP (VB consider)(NP (RB as)(DT the)(NN favorite)))))#
200692329	abstract	consider	concept	(S1 (S (VP (VB consider)(NP (NP (DT a)(NN concept))(PP (IN without)(NP (NN thinking)))(PP (IN of)(NP (DT a)(JJ specific)(NN example)))))))#
200692580	reify	consider	concept	(S1 (S (VP (VB consider)(NP (DT an)(JJ abstract)(NN concept)(S (VP (TO to)(VP (AUX be)(ADJP (JJ real)))))))))#
200692907	idealize	consider	render	(S1 (S (VP (VB consider)(NP (NP (QP (CC or)(JJR render)))(PP (IN as)(ADJP (JJ ideal)))))))#
200692907	idealise	consider	render	(S1 (S (VP (VB consider)(NP (NP (QP (CC or)(JJR render)))(PP (IN as)(ADJP (JJ ideal)))))))#
200699626	resolve	reach	decision	(S1 (S (VP (VB reach)(NP (DT a)(NN decision)))))#
200699626	purpose	reach	decision	(S1 (S (VP (VB reach)(NP (DT a)(NN decision)))))#
200700336	format	determine	arrangement	(S1 (S (VP (VB determine)(NP (NP (DT the)(NN arrangement))(PP (IN of)(S (VP (PRN (-LRB- -LRB-)(NP (NN data))(-RRB- -RRB-))(PP (IN for)(NP (NN storage)(CC and)(NN display)))(PRN (-LRB- -LRB-)(PP (IN in)(NP (NN computer)(NN science)))(-RRB- -RRB-)))))))))#
200700708	determine	fix	boundaries	(S1 (S (VP (VB fix)(NP (NP (DT the)(NNS boundaries))(PP (IN of))))))#
200702226	time	set	execution	(S1 (S (VP (VB set)(NP (NP (DT the)(NN speed))(, ,)(NP (NN duration))(, ,)(CC or)(NP (NP (NN execution))(PP (IN of)))))))#
200703875	contemplate	consider	possibility	(S1 (S (VP (VB consider)(NP (RB as)(DT a)(NN possibility)))))#
200704690	plan	make	plans	(S1 (S (VP (VB make)(NP (NP (NNS plans))(PP (IN for)(NP (NN something)))))))#
200713167	relate	make	connection	(S1 (S (VP (VB make)(NP (DT a)(ADJP (JJ logical)(CC or)(JJ causal))(NN connection)))))#
200713167	connect	make	connection	(S1 (S (VP (VB make)(NP (DT a)(ADJP (JJ logical)(CC or)(JJ causal))(NN connection)))))#
200713167	link up	make	connection	(S1 (S (VP (VB make)(NP (DT a)(ADJP (JJ logical)(CC or)(JJ causal))(NN connection)))))#
200713167	link	make	connection	(S1 (S (VP (VB make)(NP (DT a)(ADJP (JJ logical)(CC or)(JJ causal))(NN connection)))))#
200713167	tie in	make	connection	(S1 (S (VP (VB make)(NP (DT a)(ADJP (JJ logical)(CC or)(JJ causal))(NN connection)))))#
200713167	associate	make	connection	(S1 (S (VP (VB make)(NP (DT a)(ADJP (JJ logical)(CC or)(JJ causal))(NN connection)))))#
200713167	colligate	make	connection	(S1 (S (VP (VB make)(NP (DT a)(ADJP (JJ logical)(CC or)(JJ causal))(NN connection)))))#
200719062	explode	show	reaction	(S1 (S (VP (VB show)(NP (DT a)(ADJP (JJ violent)(JJ emotional))(NN reaction)))))#
200721437	discover	make	discovery	(S1 (S (VP (VB make)(NP (DT a)(NN discovery)))))#
200721437	find	make	discovery	(S1 (S (VP (VB make)(NP (DT a)(NN discovery)))))#
200723349	occur	suggest	itself	(S1 (S (VP (VB suggest)(NP (PRP itself)))))#
200723349	come	suggest	itself	(S1 (S (VP (VB suggest)(NP (PRP itself)))))#
200723545	take into account	concede	validity	(S1 (S (VP (VB concede)(NP (NP (DT the)(NN truth)(CC or)(NN validity))(PP (IN of)(NP (NN something)))))))#
200723545	allow	concede	validity	(S1 (S (VP (VB concede)(NP (NP (DT the)(NN truth)(CC or)(NN validity))(PP (IN of)(NP (NN something)))))))#
200724029	budget	make	budget	(S1 (S (VP (VB make)(NP (DT a)(NN budget)))))#
200730647	plumb	measure	depth	(S1 (S (VP (VB measure)(NP (NP (DT the)(NN depth))(PP (IN of)(NP (NN something)))))))#
200731000	capitalize	consider	expenditures	(S1 (S (VP (VB consider)(NP (NP (NNS expenditures))(PP (IN as)(NP (NP (NN capital)(NNS assets))(CONJP (RB rather)(IN than))(NP (NNS expenses))))))))#
200731000	capitalise	consider	expenditures	(S1 (S (VP (VB consider)(NP (NP (NNS expenditures))(PP (IN as)(NP (NP (NN capital)(NNS assets))(CONJP (RB rather)(IN than))(NP (NNS expenses))))))))#
200731159	capitalize	compute	income	(S1 (S (VP (VB compute)(NP (NP (NP (DT the)(JJ present)(NN value))(PP (IN of)(NP (DT a)(NN business))))(CC or)(NP (DT an)(NN income))))))#
200731159	capitalise	compute	income	(S1 (S (VP (VB compute)(NP (NP (NP (DT the)(JJ present)(NN value))(PP (IN of)(NP (DT a)(NN business))))(CC or)(NP (DT an)(NN income))))))#
200733044	solve	find	solution	(S1 (S (VP (VB find)(NP (DT the)(NN solution)))))#
200733044	resolve	find	solution	(S1 (S (VP (VB find)(NP (DT the)(NN solution)))))#
200733454	misgive	suggest	doubt	(S1 (S (VP (VB suggest)(NP (NN fear)(CC or)(NN doubt)))))#
200735571	order	arrange	events	(S1 (S (VP (VB arrange)(NP (NP (NNS thoughts))(, ,)(NP (NNS ideas))(, ,)(NP (JJ temporal)(NNS events))))))#
200735571	arrange	arrange	events	(S1 (S (VP (VB arrange)(NP (NP (NNS thoughts))(, ,)(NP (NNS ideas))(, ,)(NP (JJ temporal)(NNS events))))))#
200735571	set up	arrange	events	(S1 (S (VP (VB arrange)(NP (NP (NNS thoughts))(, ,)(NP (NNS ideas))(, ,)(NP (JJ temporal)(NNS events))))))#
200735571	put	arrange	events	(S1 (S (VP (VB arrange)(NP (NP (NNS thoughts))(, ,)(NP (NNS ideas))(, ,)(NP (JJ temporal)(NNS events))))))#
200737476	seize	capture	imagination	(S1 (S (VP (VB capture)(NP (NP (DT the)(NN attention)(CC or)(NN imagination))(PP (IN of))))))#
200737476	grab	capture	imagination	(S1 (S (VP (VB capture)(NP (NP (DT the)(NN attention)(CC or)(NN imagination))(PP (IN of))))))#
200739536	calibrate	measure	caliber	(S1 (S (VP (VB measure)(NP (NP (DT the)(NN caliber))(PP (IN of))))))#
200740577	communicate	transmit	feelings	(S1 (S (VP (VB transmit)(NP (NNS thoughts)(CC or)(NNS feelings)))))#
200740577	intercommunicate	transmit	feelings	(S1 (S (VP (VB transmit)(NP (NNS thoughts)(CC or)(NNS feelings)))))#
200742320	pass	transmit	information	(S1 (S (VP (VB transmit)(NP (NN information)))))#
200742320	pass along	transmit	information	(S1 (S (VP (VB transmit)(NP (NN information)))))#
200742320	pass on	transmit	information	(S1 (S (VP (VB transmit)(NP (NN information)))))#
200742320	communicate	transmit	information	(S1 (S (VP (VB transmit)(NP (NN information)))))#
200742320	put across	transmit	information	(S1 (S (VP (VB transmit)(NP (NN information)))))#
200743692	ping	send	message	(S1 (S (VP (VB send)(NP (NP (DT a)(NN message))(PP (PP (IN from)(NP (CD one)(NN computer)))(PP (TO to)(NP (DT another))))(SBAR (S (VP (TO to)(VP (VB check)(SBAR (IN whether)(S (NP (PRP it))(VP (AUX is)(ADJP (JJ reachable)(CC and)(JJ active)))))))))))))#
200744439	break	undergo	breaking	(S1 (S (VP (VB undergo)(NP (NN breaking)))))#
200745810	reorder	make	request	(S1 (S (VP (VB make)(NP (DT a)(JJ new)(NN request)(S (VP (TO to)(VP (AUX be)(VP (VBN supplied)(PP (IN with))))))))))#
200746084	ordain	issue	order	(S1 (S (VP (VB issue)(NP (DT an)(NN order)))))#
200748282	inflict	impose	something	(S1 (S (VP (VB impose)(NP (NN something)(JJ unpleasant)))))#
200748282	impose	impose	something	(S1 (S (VP (VB impose)(NP (NN something)(JJ unpleasant)))))#
200748282	visit	impose	something	(S1 (S (VP (VB impose)(NP (NN something)(JJ unpleasant)))))#
200748282	bring down	impose	something	(S1 (S (VP (VB impose)(NP (NN something)(JJ unpleasant)))))#
200748616	give	inflict	punishment	(S1 (S (VP (VB inflict)(NP (RB as)(DT a)(NN punishment)))))#
200749794	point the way	indicate	direction	(S1 (S (VP (VB indicate)(NP (DT the)(JJ right)(NN path)(CC or)(NN direction)))))#
200759087	supplicate	make	petition	(S1 (S (VP (VB make)(NP (DT a)(JJ humble)(, ,)(JJ earnest)(NN petition)))))#
200759944	pray	address	object	(S1 (S (VP (VB address)(NP (NP (DT a)(NN deity))(, ,)(NP (DT a)(NN prophet))(, ,)(NP (DT a)(NN saint))(CC or)(NP (NP (DT an)(NN object))(PP (IN of)(NP (NN worship))))))))#(S1 (S (VP (VB say)(NP (DT a)(NN prayer)))))#
200760402	commune	receive	Communion	(S1 (S (VP (VB receive)(NP (NP (NNP Communion))(, ,)(PP (IN in)(NP (DT the)(NNP Catholic)(NNP church)))))))#
200760402	communicate	receive	Communion	(S1 (S (VP (VB receive)(NP (NP (NNP Communion))(, ,)(PP (IN in)(NP (DT the)(NNP Catholic)(NNP church)))))))#
200761713	negociate	discuss	terms	(S1 (S (VP (VB discuss)(NP (NP (DT the)(NNS terms))(PP (IN of)(NP (DT an)(NN arrangement)))))))#
200761713	negotiate	discuss	terms	(S1 (S (VP (VB discuss)(NP (NP (DT the)(NNS terms))(PP (IN of)(NP (DT an)(NN arrangement)))))))#
200761713	talk terms	discuss	terms	(S1 (S (VP (VB discuss)(NP (NP (DT the)(NNS terms))(PP (IN of)(NP (DT an)(NN arrangement)))))))#
200763136	powwow	hold	meeting	(S1 (S (VP (VB hold)(NP (DT a)(NN powwow)(, ,)(NN talk)(, ,)(NN conference)(CC or)(NN meeting)))))#
200763831	close	complete	agreement	(S1 (S (VP (VB complete)(NP (NP (DT a)(NN business)(NN deal))(, ,)(NP (NN negotiation))(, ,)(CC or)(NP (DT an)(NN agreement))))))#
200769355	soft-soap	use	talk	(S1 (S (VP (VB use)(NP (NP (JJ flattering)(NN talk))(PP (IN on)(NP (NN somebody)))))))#
200775831	oppose	express	opposition	(S1 (S (VP (VB express)(NP (NP (NN opposition))(SBAR (S (VP (TO to))))))))#
200779908	take five	take	break	(S1 (S (VP (VB take)(NP (NP (DT a)(NN break))(PP (IN for)(NP (CD five)(NNS minutes)))))))#
200780052	take ten	take	break	(S1 (S (VP (VB take)(NP (DT a)(ADJP (CD ten)(NN minute))(NN break)))))#
200782428	quest	seek	alms	(S1 (S (VP (VB seek)(NP (NP (NNS alms))(, ,)(PP (IN as)(PP (IN for)(NP (JJ religious)(NNS purposes))))))))#
200782527	entice	provoke	someone	(S1 (S (VP (VB provoke)(NP (NP (NN someone))(SBAR (S (VP (TO to)(VP (AUX do)(NP (NN something))(PP (IN through)(NP (NP (PRN (-LRB- -LRB-)(ADVP (RB often))(ADJP (JJ false)(CC or)(JJ exaggerated))(-RRB- -RRB-))(NNS promises))(CC or)(NP (NN persuasion)))))))
200782527	lure	provoke	someone	(S1 (S (VP (VB provoke)(NP (NP (NN someone))(SBAR (S (VP (TO to)(VP (AUX do)(NP (NN something))(PP (IN through)(NP (NP (PRN (-LRB- -LRB-)(ADVP (RB often))(ADJP (JJ false)(CC or)(JJ exaggerated))(-RRB- -RRB-))(NNS promises))(CC or)(NP (NN persuasion)))))))
200782527	tempt	provoke	someone	(S1 (S (VP (VB provoke)(NP (NP (NN someone))(SBAR (S (VP (TO to)(VP (AUX do)(NP (NN something))(PP (IN through)(NP (NP (PRN (-LRB- -LRB-)(ADVP (RB often))(ADJP (JJ false)(CC or)(JJ exaggerated))(-RRB- -RRB-))(NNS promises))(CC or)(NP (NN persuasion)))))))
200785008	query	pose	question	(S1 (S (VP (VB pose)(NP (DT a)(NN question)))))#
200785008	question	pose	question	(S1 (S (VP (VB pose)(NP (DT a)(NN question)))))#
200785962	enquire	conduct	investigation	(S1 (S (VP (VB conduct)(NP (NP (DT an)(NN inquiry))(CC or)(NP (NP (NN investigation))(PP (IN of)))))))#
200785962	investigate	conduct	investigation	(S1 (S (VP (VB conduct)(NP (NP (DT an)(NN inquiry))(CC or)(NP (NP (NN investigation))(PP (IN of)))))))#
200785962	inquire	conduct	investigation	(S1 (S (VP (VB conduct)(NP (NP (DT an)(NN inquiry))(CC or)(NP (NP (NN investigation))(PP (IN of)))))))#
200790135	call in	make	call	(S1 (S (VP (VB make)(NP (DT a)(NN phone)(NN call)))))#
200790308	dial	operate	dial	(S1 (S (VP (VB operate)(NP (DT a)(NN dial)(S (VP (TO to)(VP (VB select)(NP (DT a)(NN telephone)(NN number)))))))))#
200794981	schedule	make	schedule	(S1 (S (VP (VB make)(NP (DT a)(NN schedule)))))#(S1 (S (VP (VB plan)(NP (NP (DT the)(NN time)(CC and)(NN place))(PP (IN for)(NP (NNS events)))))))#
200795475	reschedule	assign	place	(S1 (S (VP (VB assign)(NP (NP (DT a)(JJ new)(NN time)(CC and)(NN place))(PP (IN for)(NP (DT an)(NN event)))))))#
200796839	enjoin	issue	injunction	(S1 (S (VP (VB issue)(NP (DT an)(NN injunction)))))#
